year,track,portSize,ratio,port,set
2017,free,4,0.3471870678779537,"('or_tools_lcg', 'izplus', 'choco4', 'picat_sat')",participants-only
2017,free,5,0.3930344754415372,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'concrete', 'picat_sat')",participants-only
2017,free,6,0.44368821614864395,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'choco4', 'concrete', 'picat_sat')",participants-only
2017,free,7,0.4693503490198392,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'jacop', 'choco4', 'concrete', 'picat_sat')",participants-only
2017,free,8,0.49116649529575096,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'jacop', 'choco4', 'concrete', 'picat_sat', 'yuck')",participants-only
2017,free,9,0.5181044357653837,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'jacop', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",participants-only
2017,free,10,0.5353754165153067,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'mistral', 'jacop', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",participants-only
2017,free,11,0.5465695845394909,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'mistral', 'jacop', 'or_tools_cp', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",participants-only
2017,free,12,0.5527403577327927,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'mistral', 'haifacsp', 'jacop', 'or_tools_cp', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",participants-only
2017,free,13,0.5531483066205496,"('or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'mistral', 'haifacsp', 'jacop', 'or_tools_cp', 'choco4', 'choco5', 'concrete', 'oscar', 'picat_sat', 'yuck')",participants-only
2018,free,1,0.2240865367060133,"('or_tools',)",participants-only
2018,free,2,0.3212467520763439,"('or_tools', 'picatsat')",participants-only
2018,free,3,0.419824279297218,"('or_tools', 'izplus', 'picatsat')",participants-only
2018,free,4,0.47642661351380355,"('or_tools', 'choco', 'izplus', 'picatsat')",participants-only
2018,free,5,0.5435850505822403,"('or_tools', 'haifacsp', 'choco', 'izplus', 'picatsat')",participants-only
2018,free,6,0.5891221535527968,"('or_tools', 'jacop', 'choco', 'izplus', 'picatsat', 'yuck')",participants-only
2018,free,7,0.6394345052100435,"('or_tools', 'jacop', 'haifacsp', 'choco', 'izplus', 'picatsat', 'yuck')",participants-only
2018,free,8,0.6529843027223111,"('or_tools', 'jacop', 'haifacsp', 'choco', 'izplus', 'oscarcbls', 'picatsat', 'yuck')",participants-only
2018,free,9,0.6619217814667988,"('or_tools', 'jacop', 'haifacsp', 'choco', 'concrete', 'izplus', 'oscarcbls', 'picatsat', 'yuck')",participants-only
2019,free,1,0.28096358061635873,"('or_tools',)",participants-only
2019,free,2,0.3698893821143298,"('or_tools', 'picatsat')",participants-only
2019,free,3,0.4216628394975518,"('or_tools', 'picatsat', 'sicstus')",participants-only
2019,free,4,0.5056588315872622,"('or_tools', 'picatsat', 'yuck', 'sicstus')",participants-only
2019,free,5,0.5907708251532494,"('or_tools', 'picatsat', 'izplus', 'yuck', 'sicstus')",participants-only
2019,free,6,0.6204172350315138,"('or_tools', 'picatsat', 'izplus', 'yuck', 'jacop', 'sicstus')",participants-only
2019,free,7,0.6338323022061534,"('or_tools', 'picatsat', 'izplus', 'yuck', 'concrete', 'jacop', 'sicstus')",participants-only
2019,free,8,0.6422601126945104,"('or_tools', 'picatsat', 'izplus', 'yuck', 'concrete', 'oscarcbls', 'jacop', 'sicstus')",participants-only
2019,free,9,0.6458156637147565,"('or_tools', 'picatsat', 'izplus', 'yuck', 'concrete', 'oscarcbls', 'jacop', 'choco', 'sicstus')",participants-only
2020,free,1,0.45841404069238323,"('or_tools',)",participants-only
2020,free,2,0.540716951237646,"('or_tools', 'flatzingo')",participants-only
2020,free,3,0.5988275611787722,"('or_tools', 'sicstus', 'flatzingo')",participants-only
2020,free,4,0.655076611419338,"('or_tools', 'sicstus', 'mistral', 'flatzingo')",participants-only
2020,free,5,0.655076611419338,"('or_tools', 'sicstus', 'mistral', 'flatzingo', 'oscarcbls')",participants-only
2020,free,6,0.6750171655272749,"('or_tools', 'sicstus', 'mistral', 'picatsat', 'flatzingo', 'oscarcbls')",participants-only
2020,free,7,0.6829188497324024,"('or_tools', 'sicstus', 'mistral', 'picatsat', 'choco', 'flatzingo', 'oscarcbls')",participants-only
2020,free,8,0.6905142662349104,"('or_tools', 'jacop', 'sicstus', 'mistral', 'picatsat', 'choco', 'flatzingo', 'oscarcbls')",participants-only
2020,free,9,0.6937714432463777,"('or_tools', 'jacop', 'sicstus', 'mistral', 'picatsat', 'choco', 'flatzingo', 'optimathsat_int', 'oscarcbls')",participants-only
2020,free,10,0.6949683500630122,"('or_tools', 'jacop', 'sicstus', 'mistral', 'picatsat', 'choco', 'flatzingo', 'optimathsat_int', 'oscarcbls', 'yuck')",participants-only
2021,free,1,0.35033567762690454,"('or_tools_cp_sat',)",participants-only
2021,free,2,0.41619697685271584,"('or_tools_cp_sat', 'yuck')",participants-only
2021,free,3,0.48769183706623703,"('or_tools_cp_sat', 'picatsat', 'yuck')",participants-only
2021,free,4,0.5386981993133115,"('or_tools_cp_sat', 'picatsat', 'choco_solver_4_10_7', 'yuck')",participants-only
2021,free,5,0.5646413855766712,"('or_tools_cp_sat', 'picatsat', 'choco_solver_4_10_7', 'jacop', 'yuck')",participants-only
2021,free,6,0.5778125021170698,"('or_tools_cp_sat', 'picatsat', 'coin_or_cbc', 'choco_solver_4_10_7', 'jacop', 'yuck')",participants-only
